story,subject,roi,lag,r
lucy,sub-041,"Inferior Frontal Gyrus, pars triangularis",3,-0.046231743912287605
lucy,sub-041,"Inferior Frontal Gyrus, pars triangularis",4,-0.05075773494394582
lucy,sub-041,"Inferior Frontal Gyrus, pars triangularis",5,-0.05493902468570445
lucy,sub-041,"Inferior Frontal Gyrus, pars triangularis",6,-0.059146856466045075
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",0,0.41639389749715167
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",1,0.4223921174285948
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",2,0.4284044465932278
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",3,0.43439982818322537
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",4,0.43987650290764563
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",5,0.4453024014314313
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",6,0.45045543047578146
lucy,sub-041,Angular Gyrus,0,0.38029457293799807
lucy,sub-041,Angular Gyrus,1,0.3876768850021777
lucy,sub-041,Angular Gyrus,2,0.3948098553413764
lucy,sub-041,Angular Gyrus,3,0.40190653160722656
lucy,sub-041,Angular Gyrus,4,0.40873253177902547
lucy,sub-041,Angular Gyrus,5,0.41529861850635197
lucy,sub-041,Angular Gyrus,6,0.42174796474363235
lucy,sub-041,"Supramarginal Gyrus, anterior division",0,0.09379347605748961
lucy,sub-041,"Supramarginal Gyrus, anterior division",1,0.0992654578400469
lucy,sub-041,"Supramarginal Gyrus, anterior division",2,0.10490957866035978
lucy,sub-041,"Supramarginal Gyrus, anterior division",3,0.11102485127609613
lucy,sub-041,"Supramarginal Gyrus, anterior division",4,0.1165460889779659
lucy,sub-041,"Supramarginal Gyrus, anterior division",5,0.12202891075545008
lucy,sub-041,"Supramarginal Gyrus, anterior division",6,0.12725289503604645
lucy,sub-041,"Supramarginal Gyrus, posterior division",0,0.09606563769483617
lucy,sub-041,"Supramarginal Gyrus, posterior division",1,0.10148366633065972
lucy,sub-041,"Supramarginal Gyrus, posterior division",2,0.10709347229134528
lucy,sub-041,"Supramarginal Gyrus, posterior division",3,0.1132915590251891
lucy,sub-041,"Supramarginal Gyrus, posterior division",4,0.1190879371413346
lucy,sub-041,"Supramarginal Gyrus, posterior division",5,0.12477004961245826
lucy,sub-041,"Supramarginal Gyrus, posterior division",6,0.1302864991362753
lucy,sub-041,Frontal Pole,0,0.22997556145905199
lucy,sub-041,Frontal Pole,1,0.22611750934981842
lucy,sub-041,Frontal Pole,2,0.22304936180334267
lucy,sub-041,Frontal Pole,3,0.2196100976569931
lucy,sub-041,Frontal Pole,4,0.21529724546562176
lucy,sub-041,Frontal Pole,5,0.21172734427720616
lucy,sub-041,Frontal Pole,6,0.20727865427540443
lucy,sub-041,Precuneous Cortex,0,0.5069300483117309
lucy,sub-041,Precuneous Cortex,1,0.5089235342714284
lucy,sub-041,Precuneous Cortex,2,0.5105798053948213
lucy,sub-041,Precuneous Cortex,3,0.5116147860021958
lucy,sub-041,Precuneous Cortex,4,0.5124152433876895
lucy,sub-041,Precuneous Cortex,5,0.5131007207799678
lucy,sub-041,Precuneous Cortex,6,0.5138123952805942
lucy,sub-041,"Temporal Fusiform Cortex, anterior division",0,0.19444893808278807
lucy,sub-041,"Temporal Fusiform Cortex, anterior division",1,0.19309222985834484
lucy,sub-041,"Temporal Fusiform Cortex, anterior division",2,0.1919298617189251
lucy,sub-041,"Temporal Fusiform Cortex, anterior division",3,0.19093089241814315
lucy,sub-041,"Temporal Fusiform Cortex, anterior division",4,0.1891817400414883
lucy,sub-041,"Temporal Fusiform Cortex, anterior division",5,0.18767029559659568
lucy,sub-041,"Temporal Fusiform Cortex, anterior division",6,0.18612739446756985
lucy,sub-041,"Temporal Fusiform Cortex, posterior division",0,0.34033825239493065
lucy,sub-041,"Temporal Fusiform Cortex, posterior division",1,0.339376480961747
lucy,sub-041,"Temporal Fusiform Cortex, posterior division",2,0.33803169150838785
lucy,sub-041,"Temporal Fusiform Cortex, posterior division",3,0.33650506724687046
lucy,sub-041,"Temporal Fusiform Cortex, posterior division",4,0.335282115206341
lucy,sub-041,"Temporal Fusiform Cortex, posterior division",5,0.3340026696470072
lucy,sub-041,"Temporal Fusiform Cortex, posterior division",6,0.33248278610229165
lucy,sub-041,"Parahippocampal Gyrus, anterior division",0,0.4025049633467106
lucy,sub-041,"Parahippocampal Gyrus, anterior division",1,0.4041175307109918
lucy,sub-041,"Parahippocampal Gyrus, anterior division",2,0.4054519336695004
lucy,sub-041,"Parahippocampal Gyrus, anterior division",3,0.40698124540326364
lucy,sub-041,"Parahippocampal Gyrus, anterior division",4,0.408067332734414
lucy,sub-041,"Parahippocampal Gyrus, anterior division",5,0.408840835299663
lucy,sub-041,"Parahippocampal Gyrus, anterior division",6,0.4101908842451254
lucy,sub-041,"Parahippocampal Gyrus, posterior division",0,0.4240375188415762
lucy,sub-041,"Parahippocampal Gyrus, posterior division",1,0.4226725657524214
lucy,sub-041,"Parahippocampal Gyrus, posterior division",2,0.42112870489372767
lucy,sub-041,"Parahippocampal Gyrus, posterior division",3,0.4193201547179389
lucy,sub-041,"Parahippocampal Gyrus, posterior division",4,0.41750407320160443
lucy,sub-041,"Parahippocampal Gyrus, posterior division",5,0.415593223451612
lucy,sub-041,"Parahippocampal Gyrus, posterior division",6,0.4137364309911485
lucy,sub-041,"Cingulate Gyrus, anterior division",0,0.42266072983971115
lucy,sub-041,"Cingulate Gyrus, anterior division",1,0.4225716233342968
lucy,sub-041,"Cingulate Gyrus, anterior division",2,0.42231899947967205
lucy,sub-041,"Cingulate Gyrus, anterior division",3,0.4219978877573029
lucy,sub-041,"Cingulate Gyrus, anterior division",4,0.4215687218214839
lucy,sub-041,"Cingulate Gyrus, anterior division",5,0.4208417039915776
lucy,sub-041,"Cingulate Gyrus, anterior division",6,0.42032495611201676
lucy,sub-041,"Cingulate Gyrus, posterior division",0,0.49855269875230124
lucy,sub-041,"Cingulate Gyrus, posterior division",1,0.5009502025462242
lucy,sub-041,"Cingulate Gyrus, posterior division",2,0.5035859204104338
lucy,sub-041,"Cingulate Gyrus, posterior division",3,0.5057011157768405
lucy,sub-041,"Cingulate Gyrus, posterior division",4,0.5077994648320683
lucy,sub-041,"Cingulate Gyrus, posterior division",5,0.5097504806974559
lucy,sub-041,"Cingulate Gyrus, posterior division",6,0.5111494453918708
lucy,sub-052,"Superior Temporal Gyrus, anterior division",0,0.43557542418472384
lucy,sub-052,"Superior Temporal Gyrus, anterior division",1,0.43620939696498556
lucy,sub-052,"Superior Temporal Gyrus, anterior division",2,0.43679134179485024
lucy,sub-052,"Superior Temporal Gyrus, anterior division",3,0.4363846470296612
lucy,sub-052,"Superior Temporal Gyrus, anterior division",4,0.4355938776847957
lucy,sub-052,"Superior Temporal Gyrus, anterior division",5,0.4345159338670132
lucy,sub-052,"Superior Temporal Gyrus, anterior division",6,0.4330101057321572
lucy,sub-052,"Superior Temporal Gyrus, posterior division",0,-0.029640985452487417
lucy,sub-052,"Superior Temporal Gyrus, posterior division",1,-0.04593385783405847
lucy,sub-052,"Superior Temporal Gyrus, posterior division",2,-0.06236610439991287
lucy,sub-052,"Superior Temporal Gyrus, posterior division",3,-0.07901710823864451
lucy,sub-052,"Superior Temporal Gyrus, posterior division",4,-0.09580808999737882
lucy,sub-052,"Superior Temporal Gyrus, posterior division",5,-0.11128002269437876
lucy,sub-052,"Superior Temporal Gyrus, posterior division",6,-0.12687386016133823
lucy,sub-052,"Middle Temporal Gyrus, anterior division",0,0.15520415035293866
lucy,sub-052,"Middle Temporal Gyrus, anterior division",1,0.1443756112948245
lucy,sub-052,"Middle Temporal Gyrus, anterior division",2,0.1332272768695431
lucy,sub-052,"Middle Temporal Gyrus, anterior division",3,0.12189691293756981
lucy,sub-052,"Middle Temporal Gyrus, anterior division",4,0.11032172933317938
lucy,sub-052,"Middle Temporal Gyrus, anterior division",5,0.09842873315489463
lucy,sub-052,"Middle Temporal Gyrus, anterior division",6,0.08645652589065886
lucy,sub-052,"Middle Temporal Gyrus, posterior division",0,0.4562477498721306
lucy,sub-052,"Middle Temporal Gyrus, posterior division",1,0.46102247066837976
lucy,sub-052,"Middle Temporal Gyrus, posterior division",2,0.4653345853206283
lucy,sub-052,"Middle Temporal Gyrus, posterior division",3,0.4701466250994875
lucy,sub-052,"Middle Temporal Gyrus, posterior division",4,0.4741041735411177
lucy,sub-052,"Middle Temporal Gyrus, posterior division",5,0.47684525645186043
lucy,sub-052,"Middle Temporal Gyrus, posterior division",6,0.4797159242626076
lucy,sub-052,"Inferior Frontal Gyrus, pars triangularis",0,0.5775977571280755
lucy,sub-052,"Inferior Frontal Gyrus, pars triangularis",1,0.5799747034128527
lucy,sub-052,"Inferior Frontal Gyrus, pars triangularis",2,0.5827043139945103
lucy,sub-052,"Inferior Frontal Gyrus, pars triangularis",3,0.5846507022012992
lucy,sub-052,"Inferior Frontal Gyrus, pars triangularis",4,0.5862361185331776
lucy,sub-052,"Inferior Frontal Gyrus, pars triangularis",5,0.587968401728346
lucy,sub-052,"Inferior Frontal Gyrus, pars triangularis",6,0.588930688169721
lucy,sub-052,"Inferior Frontal Gyrus, pars opercularis",0,0.4992879425051021
lucy,sub-052,"Inferior Frontal Gyrus, pars opercularis",1,0.5099455809243147
lucy,sub-052,"Inferior Frontal Gyrus, pars opercularis",2,0.5201346761454217
lucy,sub-052,"Inferior Frontal Gyrus, pars opercularis",3,0.5299741933261092
lucy,sub-052,"Inferior Frontal Gyrus, pars opercularis",4,0.5395203175104768
lucy,sub-052,"Inferior Frontal Gyrus, pars opercularis",5,0.5488861599885206
lucy,sub-052,"Inferior Frontal Gyrus, pars opercularis",6,0.5576813563587613
lucy,sub-052,Angular Gyrus,0,0.4906370798283211
lucy,sub-052,Angular Gyrus,1,0.5032640939477251
lucy,sub-052,Angular Gyrus,2,0.5155121289399981
lucy,sub-052,Angular Gyrus,3,0.52741956825562
lucy,sub-052,Angular Gyrus,4,0.5388261064026457
lucy,sub-052,Angular Gyrus,5,0.5498319540771828
lucy,sub-052,Angular Gyrus,6,0.560984329117396
lucy,sub-052,"Supramarginal Gyrus, anterior division",0,0.5110740657408707
lucy,sub-052,"Supramarginal Gyrus, anterior division",1,0.5207183546235483
lucy,sub-052,"Supramarginal Gyrus, anterior division",2,0.5300112702733966
lucy,sub-052,"Supramarginal Gyrus, anterior division",3,0.5390303283004738
lucy,sub-052,"Supramarginal Gyrus, anterior division",4,0.5475377569752234
lucy,sub-052,"Supramarginal Gyrus, anterior division",5,0.5558239612408981
